Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
02/27/2022 12:00:00 AM,A001371902,DIAGONAL 15 # 32 - 20 VILLA CASTILLA,VILLA CASTILLA,2,1,HERIDOS,0,0,CHOQUE
02/27/2022 12:00:00 AM,A001371903,AVENIDA 23 # 27 - 33,No registra,2,1,HERIDOS,0,0,CHOQUE
44653,C001437205,KILOMETRO 53+500     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,0,0,CHOQUE
02/27/2022 12:00:00 AM,A001371905,CALLE 14 # 17 58   CENTRO,CENTRO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44595,A001371904,CARRERA 25 CALLE  23,No registra,3,1,HERIDOS,0,0,CHOQUE
44776,A001371907,KILOMETRO 1+700 MTS     BAQUEROS CLUB-CHICHIMENE LOMA DE TIGRE,BAQUEROS CLUB-CHICHIMENE,1,0,DA�OS MATERIALES,0,0,OTRO
44745,A001371906,KILOMETRO 9+200 MTS     BAQUEROS CLUB-CHICHIMENE,BAQUEROS CLUB-CHICHIMENE,1,0,MUERTOS,1,1,CHOQUE
44776,A001371908,CALLE 13 CARRERA  16   CENTRO,CENTRO,2,1,HERIDOS,0,0,CHOQUE
03/16/2022 12:00:00 AM,A001371912,AVENIDA 23 FRENTE ALA MANGA DE COLEO,No registra,2,1,HERIDOS,0,0,CHOQUE
03/16/2022 12:00:00 AM,A001371911,AVENIDA 25 # 25 39   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,1,HERIDOS,0,0,CHOQUE
03/14/2022 12:00:00 AM,A001371910,KILOMETRO 23 MTS SECTOR CAÑO HONDO    VÍA ACACÍAS-DINAMARCA,VÍA ACACÍAS-DINAMARCA,2,1,HERIDOS,0,0,CHOQUE
03/13/2022 12:00:00 AM,A001371909,AVENIDA 23 CALLE 9   COOPERATIVO,COOPERATIVO,2,1,HERIDOS,0,0,CHOQUE
03/18/2022 12:00:00 AM,A001371901,CARRERA 23 # 13 31   SAN JOSÉ,SAN JOSÉ,4,0,DA�OS MATERIALES,0,0,CHOQUE
03/24/2022 12:00:00 AM,A001371905,CALLE 15 CARRERA  13   JUAN MELLAO,JUAN MELLAO,1,0,DA�OS MATERIALES,0,0,OTRO
03/22/2022 12:00:00 AM,A001371913,CARRERA 14 # 4 99   MALECÓN TURISTICO,MALECÓN TURISTICO,2,1,HERIDOS,0,0,CHOQUE
03/26/2022 12:00:00 AM,A001371915,CARRERA 23 # 14 7   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
03/28/2022 12:00:00 AM,A001371916,CALLE 18 CARRERA  6   POPULAR,POPULAR,2,0,DA�OS MATERIALES,0,0,CHOQUE
03/25/2022 12:00:00 AM,A001371914,CARRERA 23 # 17 13  MANCERA,MANCERA,2,2,HERIDOS,0,0,CHOQUE
03/30/2022 12:00:00 AM,A001371917,KILOMETRO 26+300 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
03/30/2022 12:00:00 AM,A001371918,CARRERA 31 CALLE 16C    BACHUE,BACHUE,2,3,HERIDOS,0,0,CHOQUE
44837,C-001437245,KILOMETRO 48+350 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,2,HERIDOS,0,0,ATROPELLO
03/30/2022 12:00:00 AM,C-00143724,KILOMETRO 47+100 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44596,A001371919,AVENIDA 23 # 27 4   DON BOSCO,DON BOSCO,2,1,HERIDOS,0,0,CHOQUE
44624,A001371921,CARRERA 23 CALLE 19   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44624,A001371920,KILOMETRO 2 ACACIAS /VEREDA CENTRO     EL CENTRO,No registra,1,0,MUERTOS,1,1,CHOQUE
44746,A001371922,KILOMETRO 1+200 MTS VIA RESGUARDO     EL RESGUARDO,No registra,1,0,DA�OS MATERIALES,0,0,CHOQUE
44808,A001371923,CARRERA 23 FRENTE AL COMPLEJO GANADERO,No registra,2,3,HERIDOS,0,0,CHOQUE
04/13/2022 12:00:00 AM,A001456778,DIAGONAL 15 CARRERA  27A 33  SAN JOSÉ,SAN JOSÉ,2,0,DA�OS MATERIALES,0,0,CHOQUE
04/14/2022 12:00:00 AM,A001456779,CALLE 11 #32 67   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
04/15/2022 12:00:00 AM,A001456780,CARRERA 18 # 6 18  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44808,A001371925,CALLE 13 CARRERA  18   CENTRO,CENTRO,1,0,DA�OS MATERIALES,0,0,VOLCAMIENTO
44808,A001371924,CARRERA 23 CALLE  17 DIAGONAL 15  SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44838,A001371926,CALLE 15 CARRERA  18   CENTRO,CENTRO,1,2,HERIDOS,0,0,ATROPELLO
44838,A001371927,CALLE 13 CARRERA  16   CENTRO,CENTRO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44899,A001456777,CARRERA 33 CALLE  16D   BACHUE,BACHUE,1,1,HERIDOS,0,0,ATROPELLO
04/17/2022 12:00:00 AM,A001456783,CARRERA 22 CALLE  15   COOPERATIVO,COOPERATIVO,1,1,HERIDOS,0,0,ATROPELLO
04/16/2022 12:00:00 AM,A001456781,AVENIDA 23 CALLE  27   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,2,HERIDOS,0,0,CHOQUE
04/20/2022 12:00:00 AM,A001456784,CALLE 13 CARRERA  26   SAN JOSÉ,SAN JOSÉ,2,1,HERIDOS,0,0,CHOQUE
04/27/2022 12:00:00 AM,A001456786,CALLE 15 # 16 7  CENTRO,CENTRO,2,0,DA�OS MATERIALES,0,0,CHOQUE
04/25/2022 12:00:00 AM,A001456785,CARRERA 23 CALLE  15   SAN JOSÉ,SAN JOSÉ,2,2,HERIDOS,0,0,CHOQUE
04/30/2022 12:00:00 AM,A001456789,CALLE 14 # 29 34  BACHUE,BACHUE,1,1,HERIDOS,0,0,OTRO
44685,C-001441380,KILOMETRO 46+200 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,1,HERIDOS,0,0,CHOQUE
04/16/2022 12:00:00 AM,C-001441393,KILOMETRO 46+300 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,4,0,DA�OS MATERIALES,0,0,CHOQUE
04/29/2022 12:00:00 AM,C-001441405,KILOMETRO 46+400 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,0,CHOQUE
44597,A001456738,CARRERA 18 # 8A - 21 SANTA ISABEL,SANTA ISABEL,2,0,DA�OS MATERIALES,0,0,CHOQUE
44566,A001456787,CALLE 12 # 34A - 26 SAMAN,SAMAN,1,1,HERIDOS,0,0,ATROPELLO
44686,A001456790,CALLE 18 INTERSECCIÓN 20,No registra,2,1,HERIDOS,0,0,ATROPELLO
44747,A001456791,DIAGONAL 5  17 - 7 PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,1,0,DA�OS MATERIALES,0,0,CHOQUE
44778,A001456792,CALLE 16 INTERSECCIÓN 33   BACHUE,BACHUE,2,4,HERIDOS,0,0,CHOQUE
05/13/2022 12:00:00 AM,A001456793,CARRERA 23 # 11 - 9 DORADO BAJO,DORADO BAJO,2,0,DA�OS MATERIALES,0,0,CHOQUE
05/14/2022 12:00:00 AM,A001456794,CALLE 11 # 17 - 57,No registra,2,2,HERIDOS,0,0,CHOQUE
05/16/2022 12:00:00 AM,A001456795,KILOMETRO 8+400 COLEGIO JUAN ROZO     EL RESGUARDO,No registra,2,0,HERIDOS,0,0,CHOQUE
05/21/2022 12:00:00 AM,A001456796,CALLE 19 # 25 - 72 SAN JOSÉ,SAN JOSÉ,2,0,DA�OS MATERIALES,0,0,CHOQUE
